scope,scope_value,left_model_id,left_model_label,right_model_id,right_model_label,point_diff,ci_low,ci_high,p_value,significant_95
subject,college_medicine,openai/gpt-4o-mini,GPT-4o-mini,google/gemini-2.0-flash-001,Gemini-2.0-flash,-0.05999999999999994,-0.17499999999999993,0.050000000000000044,0.332,False
subject,college_medicine,openai/gpt-4o-mini,GPT-4o-mini,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0.14,0.040000000000000036,0.245,0.004,True
subject,college_medicine,openai/gpt-4o-mini,GPT-4o-mini,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,0.050000000000000044,-0.03500000000000003,0.14,0.282,False
subject,college_medicine,google/gemini-2.0-flash-001,Gemini-2.0-flash,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0.19999999999999996,0.07999999999999996,0.32000000000000006,0.002,True
subject,college_medicine,google/gemini-2.0-flash-001,Gemini-2.0-flash,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,0.10999999999999999,0.0,0.2251249999999994,0.053,False
subject,college_medicine,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,-0.08999999999999997,-0.20999999999999996,0.019999999999999907,0.114,False
subject,formal_logic,openai/gpt-4o-mini,GPT-4o-mini,google/gemini-2.0-flash-001,Gemini-2.0-flash,-0.17500000000000004,-0.30499999999999994,-0.050000000000000044,0.008,True
subject,formal_logic,openai/gpt-4o-mini,GPT-4o-mini,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0.12,-0.029999999999999916,0.265,0.119,False
subject,formal_logic,openai/gpt-4o-mini,GPT-4o-mini,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,-0.09499999999999997,-0.21499999999999997,0.015000000000000013,0.106,False
subject,formal_logic,google/gemini-2.0-flash-001,Gemini-2.0-flash,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0.29500000000000004,0.15500000000000003,0.43,0.0,True
subject,formal_logic,google/gemini-2.0-flash-001,Gemini-2.0-flash,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,0.08000000000000007,-0.05499999999999994,0.20499999999999996,0.249,False
subject,formal_logic,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,-0.21499999999999997,-0.35000000000000003,-0.08500000000000008,0.003,True
subject,high_school_macroeconomics,openai/gpt-4o-mini,GPT-4o-mini,google/gemini-2.0-flash-001,Gemini-2.0-flash,-0.11499999999999999,-0.19999999999999996,-0.04500000000000004,0.0,True
subject,high_school_macroeconomics,openai/gpt-4o-mini,GPT-4o-mini,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0.245,0.11987500000000001,0.37,0.0,True
subject,high_school_macroeconomics,openai/gpt-4o-mini,GPT-4o-mini,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,0.1449999999999999,0.025000000000000022,0.265,0.02,True
subject,high_school_macroeconomics,google/gemini-2.0-flash-001,Gemini-2.0-flash,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0.36,0.245,0.48,0.0,True
subject,high_school_macroeconomics,google/gemini-2.0-flash-001,Gemini-2.0-flash,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,0.2599999999999999,0.16000000000000003,0.375,0.0,True
