scope_type,scope_value,scope_label,base_template_name,base_template_label,compared_template_name,compared_template_label,prrr,subject_set_id,subject_name
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),minimal_instruction,T1 Minimal,benchmark_style,T2 Benchmark,0.415,MMLU_S1,formal_logic
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),minimal_instruction,T1 Minimal,natural_style,T3 Natural,0.379,MMLU_S1,formal_logic
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),minimal_instruction,T1 Minimal,order_phrasing_variation,T4 Order/Phrasing,0.334,MMLU_S1,formal_logic
mmlu_subject,high_school_macroeconomics,MMLU_S2 (high_school_macroeconomics),minimal_instruction,T1 Minimal,benchmark_style,T2 Benchmark,0.278,MMLU_S2,high_school_macroeconomics
mmlu_subject,high_school_macroeconomics,MMLU_S2 (high_school_macroeconomics),minimal_instruction,T1 Minimal,natural_style,T3 Natural,0.174,MMLU_S2,high_school_macroeconomics
mmlu_subject,high_school_macroeconomics,MMLU_S2 (high_school_macroeconomics),minimal_instruction,T1 Minimal,order_phrasing_variation,T4 Order/Phrasing,0.205,MMLU_S2,high_school_macroeconomics
mmlu_subject,college_medicine,MMLU_S3 (college_medicine),minimal_instruction,T1 Minimal,benchmark_style,T2 Benchmark,0.735,MMLU_S3,college_medicine
mmlu_subject,college_medicine,MMLU_S3 (college_medicine),minimal_instruction,T1 Minimal,natural_style,T3 Natural,0.318,MMLU_S3,college_medicine
mmlu_subject,college_medicine,MMLU_S3 (college_medicine),minimal_instruction,T1 Minimal,order_phrasing_variation,T4 Order/Phrasing,0.427,MMLU_S3,college_medicine
mmlu_subject,high_school_physics,MMLU_S4 (high_school_physics),minimal_instruction,T1 Minimal,benchmark_style,T2 Benchmark,0.428,MMLU_S4,high_school_physics
mmlu_subject,high_school_physics,MMLU_S4 (high_school_physics),minimal_instruction,T1 Minimal,natural_style,T3 Natural,0.706,MMLU_S4,high_school_physics
mmlu_subject,high_school_physics,MMLU_S4 (high_school_physics),minimal_instruction,T1 Minimal,order_phrasing_variation,T4 Order/Phrasing,0.653,MMLU_S4,high_school_physics
mmlu_subject,philosophy,MMLU_S5 (philosophy),minimal_instruction,T1 Minimal,benchmark_style,T2 Benchmark,0.553,MMLU_S5,philosophy
mmlu_subject,philosophy,MMLU_S5 (philosophy),minimal_instruction,T1 Minimal,natural_style,T3 Natural,0.795,MMLU_S5,philosophy
mmlu_subject,philosophy,MMLU_S5 (philosophy),minimal_instruction,T1 Minimal,order_phrasing_variation,T4 Order/Phrasing,0.608,MMLU_S5,philosophy
mmlu_subject,international_law,MMLU_S6 (international_law),minimal_instruction,T1 Minimal,benchmark_style,T2 Benchmark,0.567,MMLU_S6,international_law
mmlu_subject,international_law,MMLU_S6 (international_law),minimal_instruction,T1 Minimal,natural_style,T3 Natural,0.443,MMLU_S6,international_law
mmlu_subject,international_law,MMLU_S6 (international_law),minimal_instruction,T1 Minimal,order_phrasing_variation,T4 Order/Phrasing,0.452,MMLU_S6,international_law
