scope_type,scope_value,scope_label,template_name,template_label,model_id,model_label,rank_position,probability,subject_set_id,subject_name
mmlu_subject_expanded,high_school_mathematics,MMLU_S1 (high_school_mathematics),minimal_instruction,T1 Minimal,openai/gpt-4o-mini,GPT-4o-mini,1,0.0,MMLU_S1,high_school_mathematics
mmlu_subject_expanded,high_school_mathematics,MMLU_S1 (high_school_mathematics),minimal_instruction,T1 Minimal,google/gemini-2.0-flash-001,Gemini-2.0-flash,1,1.0,MMLU_S1,high_school_mathematics
mmlu_subject_expanded,high_school_mathematics,MMLU_S1 (high_school_mathematics),minimal_instruction,T1 Minimal,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,1,0.0,MMLU_S1,high_school_mathematics
mmlu_subject_expanded,high_school_mathematics,MMLU_S1 (high_school_mathematics),minimal_instruction,T1 Minimal,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,1,0.0,MMLU_S1,high_school_mathematics
mmlu_subject_expanded,high_school_mathematics,MMLU_S1 (high_school_mathematics),minimal_instruction,T1 Minimal,openai/gpt-4o-mini,GPT-4o-mini,2,0.046,MMLU_S1,high_school_mathematics
mmlu_subject_expanded,high_school_mathematics,MMLU_S1 (high_school_mathematics),minimal_instruction,T1 Minimal,google/gemini-2.0-flash-001,Gemini-2.0-flash,2,0.0,MMLU_S1,high_school_mathematics
mmlu_subject_expanded,high_school_mathematics,MMLU_S1 (high_school_mathematics),minimal_instruction,T1 Minimal,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,2,0.023,MMLU_S1,high_school_mathematics
mmlu_subject_expanded,high_school_mathematics,MMLU_S1 (high_school_mathematics),minimal_instruction,T1 Minimal,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,2,0.931,MMLU_S1,high_school_mathematics
mmlu_subject_expanded,high_school_mathematics,MMLU_S1 (high_school_mathematics),minimal_instruction,T1 Minimal,openai/gpt-4o-mini,GPT-4o-mini,3,0.619,MMLU_S1,high_school_mathematics
mmlu_subject_expanded,high_school_mathematics,MMLU_S1 (high_school_mathematics),minimal_instruction,T1 Minimal,google/gemini-2.0-flash-001,Gemini-2.0-flash,3,0.0,MMLU_S1,high_school_mathematics
mmlu_subject_expanded,high_school_mathematics,MMLU_S1 (high_school_mathematics),minimal_instruction,T1 Minimal,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,3,0.322,MMLU_S1,high_school_mathematics
mmlu_subject_expanded,high_school_mathematics,MMLU_S1 (high_school_mathematics),minimal_instruction,T1 Minimal,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,3,0.059,MMLU_S1,high_school_mathematics
mmlu_subject_expanded,high_school_mathematics,MMLU_S1 (high_school_mathematics),minimal_instruction,T1 Minimal,openai/gpt-4o-mini,GPT-4o-mini,4,0.335,MMLU_S1,high_school_mathematics
mmlu_subject_expanded,high_school_mathematics,MMLU_S1 (high_school_mathematics),minimal_instruction,T1 Minimal,google/gemini-2.0-flash-001,Gemini-2.0-flash,4,0.0,MMLU_S1,high_school_mathematics
mmlu_subject_expanded,high_school_mathematics,MMLU_S1 (high_school_mathematics),minimal_instruction,T1 Minimal,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,4,0.655,MMLU_S1,high_school_mathematics
mmlu_subject_expanded,high_school_mathematics,MMLU_S1 (high_school_mathematics),minimal_instruction,T1 Minimal,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,4,0.01,MMLU_S1,high_school_mathematics
mmlu_subject_expanded,high_school_mathematics,MMLU_S1 (high_school_mathematics),benchmark_style,T2 Benchmark,openai/gpt-4o-mini,GPT-4o-mini,1,0.0,MMLU_S1,high_school_mathematics
