request_id,item_id,dataset,subject,split,template_name,messages,metadata,model_id,raw_response
mmlu_high_school_mathematics_0000__minimal_instruction,mmlu_high_school_mathematics_0000,mmlu,high_school_mathematics,test,minimal_instruction,"[{'role': 'user', 'content': 'When the least common multiple of two positive integers is divided by their greatest common divisor, the result is 33. If one integer is 45, what is the smallest possible value of the other integer?\n\nA. 165\nB. 46\nC. 45\nD. 9\n\nSelect one option.'}]",{'gold_answer': 'A'},openai/gpt-4o-mini,A
mmlu_high_school_mathematics_0000__benchmark_style,mmlu_high_school_mathematics_0000,mmlu,high_school_mathematics,test,benchmark_style,"[{'role': 'user', 'content': 'Choose the best answer to the following multiple-choice question.\n\nQuestion:\nWhen the least common multiple of two positive integers is divided by their greatest common divisor, the result is 33. If one integer is 45, what is the smallest possible value of the other integer?\n\nOptions:\nA. 165\nB. 46\nC. 45\nD. 9'}]",{'gold_answer': 'A'},openai/gpt-4o-mini,A
mmlu_high_school_mathematics_0000__natural_style,mmlu_high_school_mathematics_0000,mmlu,high_school_mathematics,test,natural_style,"[{'role': 'user', 'content': 'I have a multiple-choice question for you.\n\nWhen the least common multiple of two positive integers is divided by their greatest common divisor, the result is 33. If one integer is 45, what is the smallest possible value of the other integer?\n\nA. 165\nB. 46\nC. 45\nD. 9\n\nWhich option do you think is correct?'}]",{'gold_answer': 'A'},openai/gpt-4o-mini,A
mmlu_high_school_mathematics_0000__order_phrasing_variation,mmlu_high_school_mathematics_0000,mmlu,high_school_mathematics,test,order_phrasing_variation,"[{'role': 'user', 'content': 'Consider the following question.\n\nWhen the least common multiple of two positive integers is divided by their greatest common divisor, the result is 33. If one integer is 45, what is the smallest possible value of the other integer?\n\nA. 165\nB. 46\nC. 45\nD. 9\n\nFrom the four options above, select the best answer.'}]",{'gold_answer': 'A'},openai/gpt-4o-mini,A
mmlu_high_school_mathematics_0001__minimal_instruction,mmlu_high_school_mathematics_0001,mmlu,high_school_mathematics,test,minimal_instruction,"[{'role': 'user', 'content': 'A sequence of three real numbers forms an arithmetic progression with a first term of 9. If 2 is added to the second term and 20 is added to the third term, the three resulting numbers form a geometric progression. What is the smallest possible value for the third term of the geometric progression?\n\nA. 2\nB. 1\nC. 9\nD. 16\n\nSelect one option.'}]",{'gold_answer': 'B'},openai/gpt-4o-mini,B
mmlu_high_school_mathematics_0001__benchmark_style,mmlu_high_school_mathematics_0001,mmlu,high_school_mathematics,test,benchmark_style,"[{'role': 'user', 'content': 'Choose the best answer to the following multiple-choice question.\n\nQuestion:\nA sequence of three real numbers forms an arithmetic progression with a first term of 9. If 2 is added to the second term and 20 is added to the third term, the three resulting numbers form a geometric progression. What is the smallest possible value for the third term of the geometric progression?\n\nOptions:\nA. 2\nB. 1\nC. 9\nD. 16'}]",{'gold_answer': 'B'},openai/gpt-4o-mini,D
mmlu_high_school_mathematics_0001__natural_style,mmlu_high_school_mathematics_0001,mmlu,high_school_mathematics,test,natural_style,"[{'role': 'user', 'content': 'I have a multiple-choice question for you.\n\nA sequence of three real numbers forms an arithmetic progression with a first term of 9. If 2 is added to the second term and 20 is added to the third term, the three resulting numbers form a geometric progression. What is the smallest possible value for the third term of the geometric progression?\n\nA. 2\nB. 1\nC. 9\nD. 16\n\nWhich option do you think is correct?'}]",{'gold_answer': 'B'},openai/gpt-4o-mini,D
mmlu_high_school_mathematics_0001__order_phrasing_variation,mmlu_high_school_mathematics_0001,mmlu,high_school_mathematics,test,order_phrasing_variation,"[{'role': 'user', 'content': 'Consider the following question.\n\nA sequence of three real numbers forms an arithmetic progression with a first term of 9. If 2 is added to the second term and 20 is added to the third term, the three resulting numbers form a geometric progression. What is the smallest possible value for the third term of the geometric progression?\n\nA. 2\nB. 1\nC. 9\nD. 16\n\nFrom the four options above, select the best answer.'}]",{'gold_answer': 'B'},openai/gpt-4o-mini,D
mmlu_high_school_mathematics_0002__minimal_instruction,mmlu_high_school_mathematics_0002,mmlu,high_school_mathematics,test,minimal_instruction,"[{'role': 'user', 'content': 'The length of a rectangle is twice its width. Given the length of the diagonal is $5\\sqrt{5}$, find the area of the rectangle.\n\nA. 2500\nB. 2\nC. 50\nD. 25\n\nSelect one option.'}]",{'gold_answer': 'C'},openai/gpt-4o-mini,C
mmlu_high_school_mathematics_0002__benchmark_style,mmlu_high_school_mathematics_0002,mmlu,high_school_mathematics,test,benchmark_style,"[{'role': 'user', 'content': 'Choose the best answer to the following multiple-choice question.\n\nQuestion:\nThe length of a rectangle is twice its width. Given the length of the diagonal is $5\\sqrt{5}$, find the area of the rectangle.\n\nOptions:\nA. 2500\nB. 2\nC. 50\nD. 25'}]",{'gold_answer': 'C'},openai/gpt-4o-mini,C
