scope_type,scope_value,scope_label,model_id,model_label,template_name,template_label,accuracy,subject_set_id,subject_name
mmlu_subject_expanded,high_school_mathematics,MMLU_S1 (high_school_mathematics),openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,0.435,MMLU_S1,high_school_mathematics
mmlu_subject_expanded,high_school_mathematics,MMLU_S1 (high_school_mathematics),openai/gpt-4o-mini,GPT-4o-mini,benchmark_style,T2 Benchmark,0.425,MMLU_S1,high_school_mathematics
mmlu_subject_expanded,high_school_mathematics,MMLU_S1 (high_school_mathematics),openai/gpt-4o-mini,GPT-4o-mini,natural_style,T3 Natural,0.425,MMLU_S1,high_school_mathematics
mmlu_subject_expanded,high_school_mathematics,MMLU_S1 (high_school_mathematics),openai/gpt-4o-mini,GPT-4o-mini,order_phrasing_variation,T4 Order/Phrasing,0.445,MMLU_S1,high_school_mathematics
mmlu_subject_expanded,high_school_mathematics,MMLU_S1 (high_school_mathematics),google/gemini-2.0-flash-001,Gemini-2.0-flash,minimal_instruction,T1 Minimal,0.62,MMLU_S1,high_school_mathematics
mmlu_subject_expanded,high_school_mathematics,MMLU_S1 (high_school_mathematics),google/gemini-2.0-flash-001,Gemini-2.0-flash,benchmark_style,T2 Benchmark,0.63,MMLU_S1,high_school_mathematics
mmlu_subject_expanded,high_school_mathematics,MMLU_S1 (high_school_mathematics),google/gemini-2.0-flash-001,Gemini-2.0-flash,natural_style,T3 Natural,0.655,MMLU_S1,high_school_mathematics
mmlu_subject_expanded,high_school_mathematics,MMLU_S1 (high_school_mathematics),google/gemini-2.0-flash-001,Gemini-2.0-flash,order_phrasing_variation,T4 Order/Phrasing,0.605,MMLU_S1,high_school_mathematics
mmlu_subject_expanded,high_school_mathematics,MMLU_S1 (high_school_mathematics),meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,minimal_instruction,T1 Minimal,0.42,MMLU_S1,high_school_mathematics
mmlu_subject_expanded,high_school_mathematics,MMLU_S1 (high_school_mathematics),meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,benchmark_style,T2 Benchmark,0.385,MMLU_S1,high_school_mathematics
mmlu_subject_expanded,high_school_mathematics,MMLU_S1 (high_school_mathematics),meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,natural_style,T3 Natural,0.4,MMLU_S1,high_school_mathematics
mmlu_subject_expanded,high_school_mathematics,MMLU_S1 (high_school_mathematics),meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,order_phrasing_variation,T4 Order/Phrasing,0.415,MMLU_S1,high_school_mathematics
