dataset,left_model_id,left_model_label,right_model_id,right_model_label,point_diff,ci_low,ci_high,p_value,significant_95,left_win_rate
arc_challenge,openai/gpt-4o-mini,GPT-4o-mini,google/gemini-2.0-flash-001,Gemini-2.0-flash,-0.03166666666666662,-0.05583333333333329,-0.00666666666666671,0.013,True,0.00625
arc_challenge,openai/gpt-4o-mini,GPT-4o-mini,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0.135,0.09333333333333338,0.17666666666666664,0.0,True,1.0
arc_challenge,openai/gpt-4o-mini,GPT-4o-mini,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,0.057499999999999996,0.025000000000000022,0.08916666666666673,0.0,True,1.0
arc_challenge,google/gemini-2.0-flash-001,Gemini-2.0-flash,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0.16666666666666663,0.125,0.20666666666666667,0.0,True,1.0
arc_challenge,google/gemini-2.0-flash-001,Gemini-2.0-flash,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,0.08916666666666662,0.05916666666666659,0.12168749999999992,0.0,True,1.0
arc_challenge,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,-0.07750000000000001,-0.11749999999999994,-0.03750000000000009,0.0,True,0.0
hellaswag,openai/gpt-4o-mini,GPT-4o-mini,google/gemini-2.0-flash-001,Gemini-2.0-flash,0.019166666666666665,-0.006666666666666601,0.04749999999999999,0.169,False,0.91975
hellaswag,openai/gpt-4o-mini,GPT-4o-mini,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0.20833333333333337,0.16749999999999998,0.24916666666666665,0.0,True,1.0
hellaswag,openai/gpt-4o-mini,GPT-4o-mini,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,0.04916666666666669,0.01416666666666666,0.08250000000000002,0.004,True,0.998
hellaswag,google/gemini-2.0-flash-001,Gemini-2.0-flash,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0.1891666666666667,0.14750000000000008,0.2300208333333332,0.0,True,1.0
hellaswag,google/gemini-2.0-flash-001,Gemini-2.0-flash,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,0.030000000000000027,-0.005833333333333357,0.0641666666666667,0.102,False,0.951
hellaswag,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,-0.15916666666666668,-0.20333333333333337,-0.11583333333333334,0.0,True,0.0
mmlu,openai/gpt-4o-mini,GPT-4o-mini,google/gemini-2.0-flash-001,Gemini-2.0-flash,-0.1166666666666667,-0.16083333333333327,-0.06997916666666673,0.0,True,0.0
mmlu,openai/gpt-4o-mini,GPT-4o-mini,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0.1333333333333333,0.08500000000000008,0.1841666666666667,0.0,True,1.0
mmlu,openai/gpt-4o-mini,GPT-4o-mini,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,0.030833333333333268,-0.014999999999999906,0.07583333333333331,0.184,False,0.9105
mmlu,google/gemini-2.0-flash-001,Gemini-2.0-flash,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0.25,0.19916666666666671,0.3025,0.0,True,1.0
mmlu,google/gemini-2.0-flash-001,Gemini-2.0-flash,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,0.14749999999999996,0.09833333333333338,0.1941666666666667,0.0,True,1.0
mmlu,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,-0.10250000000000004,-0.15083333333333337,-0.056666666666666754,0.0,True,0.0
