scope,scope_value,model_id,model_label,template_name,template_label,accuracy,ci_low,ci_high
scheme,overall_pooled,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,Minimal,0.74,0.69,0.79
scheme,overall_pooled,openai/gpt-4o-mini,GPT-4o-mini,benchmark_style,Benchmark,0.7233333333333334,0.6733333333333333,0.7766666666666666
scheme,overall_pooled,openai/gpt-4o-mini,GPT-4o-mini,natural_style,Natural,0.7433333333333333,0.6933333333333334,0.7933333333333333
scheme,overall_pooled,openai/gpt-4o-mini,GPT-4o-mini,order_phrasing_variation,Order/Phrasing,0.73,0.6766666666666666,0.7833333333333333
scheme,overall_pooled,google/gemini-2.0-flash-001,Gemini-2.0-flash,minimal_instruction,Minimal,0.8466666666666667,0.8066666666666666,0.8866666666666667
scheme,overall_pooled,google/gemini-2.0-flash-001,Gemini-2.0-flash,benchmark_style,Benchmark,0.85,0.81,0.8866666666666667
scheme,overall_pooled,google/gemini-2.0-flash-001,Gemini-2.0-flash,natural_style,Natural,0.8566666666666667,0.8133333333333334,0.8966666666666666
scheme,overall_pooled,google/gemini-2.0-flash-001,Gemini-2.0-flash,order_phrasing_variation,Order/Phrasing,0.85,0.8066666666666666,0.89
scheme,overall_pooled,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,minimal_instruction,Minimal,0.6033333333333334,0.5499166666666667,0.66
scheme,overall_pooled,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,benchmark_style,Benchmark,0.6033333333333334,0.55,0.66
scheme,overall_pooled,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,natural_style,Natural,0.5933333333333334,0.54,0.65
scheme,overall_pooled,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,order_phrasing_variation,Order/Phrasing,0.6033333333333334,0.5466666666666666,0.6566666666666666
scheme,overall_pooled,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,minimal_instruction,Minimal,0.7033333333333334,0.65,0.7566666666666667
scheme,overall_pooled,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,benchmark_style,Benchmark,0.7033333333333334,0.6533333333333333,0.7566666666666667
scheme,overall_pooled,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,natural_style,Natural,0.7033333333333334,0.65,0.7566666666666667
scheme,overall_pooled,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,order_phrasing_variation,Order/Phrasing,0.7033333333333334,0.65,0.7566666666666667
scheme,overall_stratified,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,Minimal,0.74,0.6933333333333334,0.79
scheme,overall_stratified,openai/gpt-4o-mini,GPT-4o-mini,benchmark_style,Benchmark,0.7233333333333334,0.6733333333333333,0.7700833333333329
scheme,overall_stratified,openai/gpt-4o-mini,GPT-4o-mini,natural_style,Natural,0.7433333333333333,0.6933333333333334,0.79
scheme,overall_stratified,openai/gpt-4o-mini,GPT-4o-mini,order_phrasing_variation,Order/Phrasing,0.73,0.68,0.78
scheme,overall_stratified,google/gemini-2.0-flash-001,Gemini-2.0-flash,minimal_instruction,Minimal,0.8466666666666667,0.8066666666666666,0.8866666666666667
scheme,overall_stratified,google/gemini-2.0-flash-001,Gemini-2.0-flash,benchmark_style,Benchmark,0.85,0.81,0.89
scheme,overall_stratified,google/gemini-2.0-flash-001,Gemini-2.0-flash,natural_style,Natural,0.8566666666666667,0.8166666666666667,0.8966666666666666
scheme,overall_stratified,google/gemini-2.0-flash-001,Gemini-2.0-flash,order_phrasing_variation,Order/Phrasing,0.85,0.81,0.89
scheme,overall_stratified,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,minimal_instruction,Minimal,0.6033333333333334,0.55,0.6533333333333333
scheme,overall_stratified,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,benchmark_style,Benchmark,0.6033333333333334,0.55,0.6567499999999995
scheme,overall_stratified,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,natural_style,Natural,0.5933333333333334,0.54,0.6466666666666666
scheme,overall_stratified,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,order_phrasing_variation,Order/Phrasing,0.6033333333333334,0.55,0.6533333333333333
scheme,overall_stratified,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,minimal_instruction,Minimal,0.7033333333333334,0.6533333333333333,0.7533333333333333
scheme,overall_stratified,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,benchmark_style,Benchmark,0.7033333333333334,0.6533333333333333,0.7500833333333329
scheme,overall_stratified,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,natural_style,Natural,0.7033333333333334,0.6533333333333333,0.7533333333333333
scheme,overall_stratified,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,order_phrasing_variation,Order/Phrasing,0.7033333333333334,0.6533333333333333,0.7533333333333333
