scope,scope_value,template_name,template_label,rrr
subject,college_medicine,benchmark_style,Benchmark,0.6815
subject,college_medicine,natural_style,Natural,0.3305
subject,college_medicine,order_phrasing_variation,Order/Phrasing,0.5345
subject,formal_logic,benchmark_style,Benchmark,0.4015
subject,formal_logic,natural_style,Natural,0.4115
subject,formal_logic,order_phrasing_variation,Order/Phrasing,0.3215
subject,high_school_macroeconomics,benchmark_style,Benchmark,0.204
subject,high_school_macroeconomics,natural_style,Natural,0.1455
subject,high_school_macroeconomics,order_phrasing_variation,Order/Phrasing,0.0855
subject,high_school_physics,benchmark_style,Benchmark,0.4575
subject,high_school_physics,natural_style,Natural,0.7435
subject,high_school_physics,order_phrasing_variation,Order/Phrasing,0.6665
subject,international_law,benchmark_style,Benchmark,0.5285
subject,international_law,natural_style,Natural,0.39
subject,international_law,order_phrasing_variation,Order/Phrasing,0.446
subject,philosophy,benchmark_style,Benchmark,0.604
subject,philosophy,natural_style,Natural,0.8475
subject,philosophy,order_phrasing_variation,Order/Phrasing,0.5865
