scope_type,scope_value,scope_label,model_id,model_label,template_name,template_label,accuracy,subject_set_id,subject_name
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,0.62,MMLU_S1,formal_logic
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),openai/gpt-4o-mini,GPT-4o-mini,benchmark_style,T2 Benchmark,0.6,MMLU_S1,formal_logic
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),openai/gpt-4o-mini,GPT-4o-mini,natural_style,T3 Natural,0.6,MMLU_S1,formal_logic
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),openai/gpt-4o-mini,GPT-4o-mini,order_phrasing_variation,T4 Order/Phrasing,0.58,MMLU_S1,formal_logic
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),google/gemini-2.0-flash-001,Gemini-2.0-flash,minimal_instruction,T1 Minimal,0.76,MMLU_S1,formal_logic
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),google/gemini-2.0-flash-001,Gemini-2.0-flash,benchmark_style,T2 Benchmark,0.76,MMLU_S1,formal_logic
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),google/gemini-2.0-flash-001,Gemini-2.0-flash,natural_style,T3 Natural,0.8,MMLU_S1,formal_logic
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),google/gemini-2.0-flash-001,Gemini-2.0-flash,order_phrasing_variation,T4 Order/Phrasing,0.78,MMLU_S1,formal_logic
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,minimal_instruction,T1 Minimal,0.46,MMLU_S1,formal_logic
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,benchmark_style,T2 Benchmark,0.48,MMLU_S1,formal_logic
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,natural_style,T3 Natural,0.5,MMLU_S1,formal_logic
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,order_phrasing_variation,T4 Order/Phrasing,0.48,MMLU_S1,formal_logic
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,minimal_instruction,T1 Minimal,0.68,MMLU_S1,formal_logic
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,benchmark_style,T2 Benchmark,0.7,MMLU_S1,formal_logic
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,natural_style,T3 Natural,0.72,MMLU_S1,formal_logic
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,order_phrasing_variation,T4 Order/Phrasing,0.68,MMLU_S1,formal_logic
mmlu_subject,high_school_macroeconomics,MMLU_S2 (high_school_macroeconomics),openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,0.86,MMLU_S2,high_school_macroeconomics
mmlu_subject,high_school_macroeconomics,MMLU_S2 (high_school_macroeconomics),openai/gpt-4o-mini,GPT-4o-mini,benchmark_style,T2 Benchmark,0.8,MMLU_S2,high_school_macroeconomics
mmlu_subject,high_school_macroeconomics,MMLU_S2 (high_school_macroeconomics),openai/gpt-4o-mini,GPT-4o-mini,natural_style,T3 Natural,0.82,MMLU_S2,high_school_macroeconomics
mmlu_subject,high_school_macroeconomics,MMLU_S2 (high_school_macroeconomics),openai/gpt-4o-mini,GPT-4o-mini,order_phrasing_variation,T4 Order/Phrasing,0.84,MMLU_S2,high_school_macroeconomics
mmlu_subject,high_school_macroeconomics,MMLU_S2 (high_school_macroeconomics),google/gemini-2.0-flash-001,Gemini-2.0-flash,minimal_instruction,T1 Minimal,0.94,MMLU_S2,high_school_macroeconomics
mmlu_subject,high_school_macroeconomics,MMLU_S2 (high_school_macroeconomics),google/gemini-2.0-flash-001,Gemini-2.0-flash,benchmark_style,T2 Benchmark,0.94,MMLU_S2,high_school_macroeconomics
mmlu_subject,high_school_macroeconomics,MMLU_S2 (high_school_macroeconomics),google/gemini-2.0-flash-001,Gemini-2.0-flash,natural_style,T3 Natural,0.94,MMLU_S2,high_school_macroeconomics
mmlu_subject,high_school_macroeconomics,MMLU_S2 (high_school_macroeconomics),google/gemini-2.0-flash-001,Gemini-2.0-flash,order_phrasing_variation,T4 Order/Phrasing,0.96,MMLU_S2,high_school_macroeconomics
