scope_type,scope_value,scope_label,template_name,template_label,model_id,model_label,rank_position,probability,subject_set_id,subject_name
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),minimal_instruction,T1 Minimal,openai/gpt-4o-mini,GPT-4o-mini,1,0.038,MMLU_S1,formal_logic
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),minimal_instruction,T1 Minimal,google/gemini-2.0-flash-001,Gemini-2.0-flash,1,0.905,MMLU_S1,formal_logic
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),minimal_instruction,T1 Minimal,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,1,0.0,MMLU_S1,formal_logic
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),minimal_instruction,T1 Minimal,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,1,0.057,MMLU_S1,formal_logic
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),minimal_instruction,T1 Minimal,openai/gpt-4o-mini,GPT-4o-mini,2,0.239,MMLU_S1,formal_logic
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),minimal_instruction,T1 Minimal,google/gemini-2.0-flash-001,Gemini-2.0-flash,2,0.081,MMLU_S1,formal_logic
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),minimal_instruction,T1 Minimal,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,2,0.004,MMLU_S1,formal_logic
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),minimal_instruction,T1 Minimal,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,2,0.676,MMLU_S1,formal_logic
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),minimal_instruction,T1 Minimal,openai/gpt-4o-mini,GPT-4o-mini,3,0.708,MMLU_S1,formal_logic
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),minimal_instruction,T1 Minimal,google/gemini-2.0-flash-001,Gemini-2.0-flash,3,0.014,MMLU_S1,formal_logic
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),minimal_instruction,T1 Minimal,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,3,0.016,MMLU_S1,formal_logic
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),minimal_instruction,T1 Minimal,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,3,0.262,MMLU_S1,formal_logic
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),minimal_instruction,T1 Minimal,openai/gpt-4o-mini,GPT-4o-mini,4,0.015,MMLU_S1,formal_logic
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),minimal_instruction,T1 Minimal,google/gemini-2.0-flash-001,Gemini-2.0-flash,4,0.0,MMLU_S1,formal_logic
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),minimal_instruction,T1 Minimal,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,4,0.98,MMLU_S1,formal_logic
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),minimal_instruction,T1 Minimal,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,4,0.005,MMLU_S1,formal_logic
