scope_type,scope_value,scope_label,model_id,model_label,accuracy,rank
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,0.9083333333333333,2
dataset,arc_challenge,ARC-Challenge,google/gemini-2.0-flash-001,Gemini-2.0-flash,0.94,1
dataset,arc_challenge,ARC-Challenge,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0.7733333333333333,4
dataset,arc_challenge,ARC-Challenge,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,0.8508333333333333,3
dataset,hellaswag,HellaSwag,openai/gpt-4o-mini,GPT-4o-mini,0.8916666666666667,1
dataset,hellaswag,HellaSwag,google/gemini-2.0-flash-001,Gemini-2.0-flash,0.8725,2
dataset,hellaswag,HellaSwag,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0.6833333333333333,4
dataset,hellaswag,HellaSwag,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,0.8425,3
dataset,mmlu,MMLU,openai/gpt-4o-mini,GPT-4o-mini,0.7341666666666666,2
dataset,mmlu,MMLU,google/gemini-2.0-flash-001,Gemini-2.0-flash,0.8508333333333333,1
dataset,mmlu,MMLU,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0.6008333333333333,4
dataset,mmlu,MMLU,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,0.7033333333333334,3
