scope_type,scope_value,scope_label,model_id,model_label,template_name,template_label,accuracy
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,0.9066666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,benchmark_style,T2 Benchmark,0.9166666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,natural_style,T3 Natural,0.9033333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,order_phrasing_variation,T4 Order/Phrasing,0.9066666666666666
dataset,arc_challenge,ARC-Challenge,google/gemini-2.0-flash-001,Gemini-2.0-flash,minimal_instruction,T1 Minimal,0.94
dataset,arc_challenge,ARC-Challenge,google/gemini-2.0-flash-001,Gemini-2.0-flash,benchmark_style,T2 Benchmark,0.9366666666666666
dataset,arc_challenge,ARC-Challenge,google/gemini-2.0-flash-001,Gemini-2.0-flash,natural_style,T3 Natural,0.94
dataset,arc_challenge,ARC-Challenge,google/gemini-2.0-flash-001,Gemini-2.0-flash,order_phrasing_variation,T4 Order/Phrasing,0.9433333333333334
dataset,arc_challenge,ARC-Challenge,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,minimal_instruction,T1 Minimal,0.77
dataset,arc_challenge,ARC-Challenge,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,benchmark_style,T2 Benchmark,0.7766666666666666
dataset,arc_challenge,ARC-Challenge,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,natural_style,T3 Natural,0.78
dataset,arc_challenge,ARC-Challenge,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,order_phrasing_variation,T4 Order/Phrasing,0.7666666666666667
dataset,arc_challenge,ARC-Challenge,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,minimal_instruction,T1 Minimal,0.8466666666666667
dataset,arc_challenge,ARC-Challenge,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,benchmark_style,T2 Benchmark,0.8433333333333334
dataset,arc_challenge,ARC-Challenge,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,natural_style,T3 Natural,0.8566666666666667
dataset,arc_challenge,ARC-Challenge,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,order_phrasing_variation,T4 Order/Phrasing,0.8566666666666667
dataset,hellaswag,HellaSwag,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,0.8666666666666667
dataset,hellaswag,HellaSwag,openai/gpt-4o-mini,GPT-4o-mini,benchmark_style,T2 Benchmark,0.9033333333333333
dataset,hellaswag,HellaSwag,openai/gpt-4o-mini,GPT-4o-mini,natural_style,T3 Natural,0.9
dataset,hellaswag,HellaSwag,openai/gpt-4o-mini,GPT-4o-mini,order_phrasing_variation,T4 Order/Phrasing,0.8966666666666666
dataset,hellaswag,HellaSwag,google/gemini-2.0-flash-001,Gemini-2.0-flash,minimal_instruction,T1 Minimal,0.85
dataset,hellaswag,HellaSwag,google/gemini-2.0-flash-001,Gemini-2.0-flash,benchmark_style,T2 Benchmark,0.87
dataset,hellaswag,HellaSwag,google/gemini-2.0-flash-001,Gemini-2.0-flash,natural_style,T3 Natural,0.8833333333333333
dataset,hellaswag,HellaSwag,google/gemini-2.0-flash-001,Gemini-2.0-flash,order_phrasing_variation,T4 Order/Phrasing,0.8866666666666667
dataset,hellaswag,HellaSwag,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,minimal_instruction,T1 Minimal,0.5966666666666667
dataset,hellaswag,HellaSwag,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,benchmark_style,T2 Benchmark,0.7333333333333333
dataset,hellaswag,HellaSwag,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,natural_style,T3 Natural,0.7366666666666667
dataset,hellaswag,HellaSwag,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,order_phrasing_variation,T4 Order/Phrasing,0.6666666666666666
dataset,hellaswag,HellaSwag,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,minimal_instruction,T1 Minimal,0.81
dataset,hellaswag,HellaSwag,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,benchmark_style,T2 Benchmark,0.87
dataset,hellaswag,HellaSwag,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,natural_style,T3 Natural,0.8533333333333334
dataset,hellaswag,HellaSwag,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,order_phrasing_variation,T4 Order/Phrasing,0.8366666666666667
dataset,mmlu,MMLU,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,0.74
dataset,mmlu,MMLU,openai/gpt-4o-mini,GPT-4o-mini,benchmark_style,T2 Benchmark,0.7233333333333334
dataset,mmlu,MMLU,openai/gpt-4o-mini,GPT-4o-mini,natural_style,T3 Natural,0.7433333333333333
dataset,mmlu,MMLU,openai/gpt-4o-mini,GPT-4o-mini,order_phrasing_variation,T4 Order/Phrasing,0.73
dataset,mmlu,MMLU,google/gemini-2.0-flash-001,Gemini-2.0-flash,minimal_instruction,T1 Minimal,0.8466666666666667
dataset,mmlu,MMLU,google/gemini-2.0-flash-001,Gemini-2.0-flash,benchmark_style,T2 Benchmark,0.85
dataset,mmlu,MMLU,google/gemini-2.0-flash-001,Gemini-2.0-flash,natural_style,T3 Natural,0.8566666666666667
dataset,mmlu,MMLU,google/gemini-2.0-flash-001,Gemini-2.0-flash,order_phrasing_variation,T4 Order/Phrasing,0.85
dataset,mmlu,MMLU,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,minimal_instruction,T1 Minimal,0.6033333333333334
dataset,mmlu,MMLU,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,benchmark_style,T2 Benchmark,0.6033333333333334
dataset,mmlu,MMLU,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,natural_style,T3 Natural,0.5933333333333334
dataset,mmlu,MMLU,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,order_phrasing_variation,T4 Order/Phrasing,0.6033333333333334
dataset,mmlu,MMLU,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,minimal_instruction,T1 Minimal,0.7033333333333334
dataset,mmlu,MMLU,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,benchmark_style,T2 Benchmark,0.7033333333333334
dataset,mmlu,MMLU,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,natural_style,T3 Natural,0.7033333333333334
dataset,mmlu,MMLU,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,order_phrasing_variation,T4 Order/Phrasing,0.7033333333333334
