scope_type,scope_value,scope_label,template_name,template_label,srrr,subject_set_id,subject_name
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),minimal_instruction,T1 Minimal,0.341,MMLU_S1,formal_logic
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),benchmark_style,T2 Benchmark,0.322,MMLU_S1,formal_logic
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),natural_style,T3 Natural,0.259,MMLU_S1,formal_logic
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),order_phrasing_variation,T4 Order/Phrasing,0.238,MMLU_S1,formal_logic
mmlu_subject,high_school_macroeconomics,MMLU_S2 (high_school_macroeconomics),minimal_instruction,T1 Minimal,0.17,MMLU_S2,high_school_macroeconomics
mmlu_subject,high_school_macroeconomics,MMLU_S2 (high_school_macroeconomics),benchmark_style,T2 Benchmark,0.305,MMLU_S2,high_school_macroeconomics
mmlu_subject,high_school_macroeconomics,MMLU_S2 (high_school_macroeconomics),natural_style,T3 Natural,0.074,MMLU_S2,high_school_macroeconomics
mmlu_subject,high_school_macroeconomics,MMLU_S2 (high_school_macroeconomics),order_phrasing_variation,T4 Order/Phrasing,0.172,MMLU_S2,high_school_macroeconomics
mmlu_subject,college_medicine,MMLU_S3 (college_medicine),minimal_instruction,T1 Minimal,0.449,MMLU_S3,college_medicine
mmlu_subject,college_medicine,MMLU_S3 (college_medicine),benchmark_style,T2 Benchmark,0.642,MMLU_S3,college_medicine
mmlu_subject,college_medicine,MMLU_S3 (college_medicine),natural_style,T3 Natural,0.54,MMLU_S3,college_medicine
mmlu_subject,college_medicine,MMLU_S3 (college_medicine),order_phrasing_variation,T4 Order/Phrasing,0.573,MMLU_S3,college_medicine
mmlu_subject,high_school_physics,MMLU_S4 (high_school_physics),minimal_instruction,T1 Minimal,0.467,MMLU_S4,high_school_physics
mmlu_subject,high_school_physics,MMLU_S4 (high_school_physics),benchmark_style,T2 Benchmark,0.502,MMLU_S4,high_school_physics
mmlu_subject,high_school_physics,MMLU_S4 (high_school_physics),natural_style,T3 Natural,0.435,MMLU_S4,high_school_physics
mmlu_subject,high_school_physics,MMLU_S4 (high_school_physics),order_phrasing_variation,T4 Order/Phrasing,0.46,MMLU_S4,high_school_physics
mmlu_subject,philosophy,MMLU_S5 (philosophy),minimal_instruction,T1 Minimal,0.656,MMLU_S5,philosophy
mmlu_subject,philosophy,MMLU_S5 (philosophy),benchmark_style,T2 Benchmark,0.574,MMLU_S5,philosophy
mmlu_subject,philosophy,MMLU_S5 (philosophy),natural_style,T3 Natural,0.418,MMLU_S5,philosophy
mmlu_subject,philosophy,MMLU_S5 (philosophy),order_phrasing_variation,T4 Order/Phrasing,0.664,MMLU_S5,philosophy
mmlu_subject,international_law,MMLU_S6 (international_law),minimal_instruction,T1 Minimal,0.539,MMLU_S6,international_law
mmlu_subject,international_law,MMLU_S6 (international_law),benchmark_style,T2 Benchmark,0.704,MMLU_S6,international_law
mmlu_subject,international_law,MMLU_S6 (international_law),natural_style,T3 Natural,0.713,MMLU_S6,international_law
mmlu_subject,international_law,MMLU_S6 (international_law),order_phrasing_variation,T4 Order/Phrasing,0.661,MMLU_S6,international_law
