request_id,item_id,dataset,subject,split,template_name,model,messages,metadata,model_id,raw_response
mmlu_formal_logic_0000__minimal_instruction,mmlu_formal_logic_0000,mmlu,formal_logic,test,minimal_instruction,openai/gpt-5.2,"[{'role': 'user', 'content': 'Select the best translation into predicate logic. Holly loves Frances. (f: Frances; h: Holly; Lxy: x loves y)\n\nA. hLf\nB. fLh\nC. Lfh\nD. Lhf\n\nAnswer with the letter only.'}]",{'gold_answer': 'D'},openai/gpt-4o-mini,U
mmlu_formal_logic_0000__benchmark_style,mmlu_formal_logic_0000,mmlu,formal_logic,test,benchmark_style,openai/gpt-5.2,"[{'role': 'user', 'content': 'Choose the correct answer to the following multiple-choice question.\n\nQuestion:\nSelect the best translation into predicate logic. Holly loves Frances. (f: Frances; h: Holly; Lxy: x loves y)\n\nOptions:\nA. hLf\nB. fLh\nC. Lfh\nD. Lhf\n\nAnswer with one letter (A, B, C, or D).'}]",{'gold_answer': 'D'},openai/gpt-4o-mini,U
mmlu_formal_logic_0000__natural_style,mmlu_formal_logic_0000,mmlu,formal_logic,test,natural_style,openai/gpt-5.2,"[{'role': 'user', 'content': 'Here is a multiple-choice question.\n\nSelect the best translation into predicate logic. Holly loves Frances. (f: Frances; h: Holly; Lxy: x loves y)\n\nA. hLf\nB. fLh\nC. Lfh\nD. Lhf\n\nWhich option is correct? Reply with the option letter.'}]",{'gold_answer': 'D'},openai/gpt-4o-mini,U
mmlu_formal_logic_0000__order_phrasing_variation,mmlu_formal_logic_0000,mmlu,formal_logic,test,order_phrasing_variation,openai/gpt-5.2,"[{'role': 'user', 'content': 'Reply with only the letter of the correct answer.\n\nBelow is a question with four possible options.\n\nSelect the best translation into predicate logic. Holly loves Frances. (f: Frances; h: Holly; Lxy: x loves y)\n\nA. hLf\nB. fLh\nC. Lfh\nD. Lhf\n\nSelect the best option.'}]",{'gold_answer': 'D'},openai/gpt-4o-mini,U
mmlu_formal_logic_0001__minimal_instruction,mmlu_formal_logic_0001,mmlu,formal_logic,test,minimal_instruction,openai/gpt-5.2,"[{'role': 'user', 'content': ' Use indirect truth tables to determine whether the following argument is valid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)\nL ⊃ [(M ∨ ~N) ⊃ O]\n(N ⊃ O) ⊃ (~P ⊃ Q)\nR ⊃ ~Q / L ⊃ (R ⊃ P)\n\nA. Valid\nB. Invalid. Counterexample when L, M, O, Q, and R are true and N and P are false\nC. Invalid. Counterexample when L, N, O, Q, and R are true and M and P are false\nD. Invalid. Counterexample when L, N, and R are true and M, O, P, and Q are false\n\nAnswer with the letter only.'}]",{'gold_answer': 'D'},openai/gpt-4o-mini,U
mmlu_formal_logic_0001__benchmark_style,mmlu_formal_logic_0001,mmlu,formal_logic,test,benchmark_style,openai/gpt-5.2,"[{'role': 'user', 'content': 'Choose the correct answer to the following multiple-choice question.\n\nQuestion:\n Use indirect truth tables to determine whether the following argument is valid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)\nL ⊃ [(M ∨ ~N) ⊃ O]\n(N ⊃ O) ⊃ (~P ⊃ Q)\nR ⊃ ~Q / L ⊃ (R ⊃ P)\n\nOptions:\nA. Valid\nB. Invalid. Counterexample when L, M, O, Q, and R are true and N and P are false\nC. Invalid. Counterexample when L, N, O, Q, and R are true and M and P are false\nD. Invalid. Counterexample when L, N, and R are true and M, O, P, and Q are false\n\nAnswer with one letter (A, B, C, or D).'}]",{'gold_answer': 'D'},openai/gpt-4o-mini,U
mmlu_formal_logic_0001__natural_style,mmlu_formal_logic_0001,mmlu,formal_logic,test,natural_style,openai/gpt-5.2,"[{'role': 'user', 'content': 'Here is a multiple-choice question.\n\n Use indirect truth tables to determine whether the following argument is valid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)\nL ⊃ [(M ∨ ~N) ⊃ O]\n(N ⊃ O) ⊃ (~P ⊃ Q)\nR ⊃ ~Q / L ⊃ (R ⊃ P)\n\nA. Valid\nB. Invalid. Counterexample when L, M, O, Q, and R are true and N and P are false\nC. Invalid. Counterexample when L, N, O, Q, and R are true and M and P are false\nD. Invalid. Counterexample when L, N, and R are true and M, O, P, and Q are false\n\nWhich option is correct? Reply with the option letter.'}]",{'gold_answer': 'D'},openai/gpt-4o-mini,U
mmlu_formal_logic_0001__order_phrasing_variation,mmlu_formal_logic_0001,mmlu,formal_logic,test,order_phrasing_variation,openai/gpt-5.2,"[{'role': 'user', 'content': 'Reply with only the letter of the correct answer.\n\nBelow is a question with four possible options.\n\n Use indirect truth tables to determine whether the following argument is valid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)\nL ⊃ [(M ∨ ~N) ⊃ O]\n(N ⊃ O) ⊃ (~P ⊃ Q)\nR ⊃ ~Q / L ⊃ (R ⊃ P)\n\nA. Valid\nB. Invalid. Counterexample when L, M, O, Q, and R are true and N and P are false\nC. Invalid. Counterexample when L, N, O, Q, and R are true and M and P are false\nD. Invalid. Counterexample when L, N, and R are true and M, O, P, and Q are false\n\nSelect the best option.'}]",{'gold_answer': 'D'},openai/gpt-4o-mini,U
mmlu_formal_logic_0002__minimal_instruction,mmlu_formal_logic_0002,mmlu,formal_logic,test,minimal_instruction,openai/gpt-5.2,"[{'role': 'user', 'content': 'Identify the antecedent of the following conditional proposition: The university raises tuition only if both the governor approves of it and the board of trustees recommends it.\n\nA. The university raises tuition.\nB. The governor approves of it.\nC. The board of trustees recommends it.\nD. The governor approves of it and the board of trustees recommends it.\n\nAnswer with the letter only.'}]",{'gold_answer': 'A'},openai/gpt-4o-mini,U
mmlu_formal_logic_0002__benchmark_style,mmlu_formal_logic_0002,mmlu,formal_logic,test,benchmark_style,openai/gpt-5.2,"[{'role': 'user', 'content': 'Choose the correct answer to the following multiple-choice question.\n\nQuestion:\nIdentify the antecedent of the following conditional proposition: The university raises tuition only if both the governor approves of it and the board of trustees recommends it.\n\nOptions:\nA. The university raises tuition.\nB. The governor approves of it.\nC. The board of trustees recommends it.\nD. The governor approves of it and the board of trustees recommends it.\n\nAnswer with one letter (A, B, C, or D).'}]",{'gold_answer': 'A'},openai/gpt-4o-mini,U
mmlu_formal_logic_0002__natural_style,mmlu_formal_logic_0002,mmlu,formal_logic,test,natural_style,openai/gpt-5.2,"[{'role': 'user', 'content': 'Here is a multiple-choice question.\n\nIdentify the antecedent of the following conditional proposition: The university raises tuition only if both the governor approves of it and the board of trustees recommends it.\n\nA. The university raises tuition.\nB. The governor approves of it.\nC. The board of trustees recommends it.\nD. The governor approves of it and the board of trustees recommends it.\n\nWhich option is correct? Reply with the option letter.'}]",{'gold_answer': 'A'},openai/gpt-4o-mini,U
