scope_type,scope_value,scope_label,model_id,model_label,accuracy,rank,subject_set_id,subject_name
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),openai/gpt-4o-mini,GPT-4o-mini,0.6,3,MMLU_S1,formal_logic
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),google/gemini-2.0-flash-001,Gemini-2.0-flash,0.775,1,MMLU_S1,formal_logic
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0.48,4,MMLU_S1,formal_logic
mmlu_subject,formal_logic,MMLU_S1 (formal_logic),qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,0.695,2,MMLU_S1,formal_logic
mmlu_subject,high_school_macroeconomics,MMLU_S2 (high_school_macroeconomics),openai/gpt-4o-mini,GPT-4o-mini,0.83,2,MMLU_S2,high_school_macroeconomics
mmlu_subject,high_school_macroeconomics,MMLU_S2 (high_school_macroeconomics),google/gemini-2.0-flash-001,Gemini-2.0-flash,0.945,1,MMLU_S2,high_school_macroeconomics
mmlu_subject,high_school_macroeconomics,MMLU_S2 (high_school_macroeconomics),meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0.585,4,MMLU_S2,high_school_macroeconomics
mmlu_subject,high_school_macroeconomics,MMLU_S2 (high_school_macroeconomics),qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,0.685,3,MMLU_S2,high_school_macroeconomics
mmlu_subject,college_medicine,MMLU_S3 (college_medicine),openai/gpt-4o-mini,GPT-4o-mini,0.76,2,MMLU_S3,college_medicine
mmlu_subject,college_medicine,MMLU_S3 (college_medicine),google/gemini-2.0-flash-001,Gemini-2.0-flash,0.82,1,MMLU_S3,college_medicine
mmlu_subject,college_medicine,MMLU_S3 (college_medicine),meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0.62,4,MMLU_S3,college_medicine
mmlu_subject,college_medicine,MMLU_S3 (college_medicine),qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,0.71,3,MMLU_S3,college_medicine
mmlu_subject,high_school_physics,MMLU_S4 (high_school_physics),openai/gpt-4o-mini,GPT-4o-mini,0.54,2,MMLU_S4,high_school_physics
mmlu_subject,high_school_physics,MMLU_S4 (high_school_physics),google/gemini-2.0-flash-001,Gemini-2.0-flash,0.78,1,MMLU_S4,high_school_physics
mmlu_subject,high_school_physics,MMLU_S4 (high_school_physics),meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0.42,4,MMLU_S4,high_school_physics
mmlu_subject,high_school_physics,MMLU_S4 (high_school_physics),qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,0.535,3,MMLU_S4,high_school_physics
mmlu_subject,philosophy,MMLU_S5 (philosophy),openai/gpt-4o-mini,GPT-4o-mini,0.82,3,MMLU_S5,philosophy
mmlu_subject,philosophy,MMLU_S5 (philosophy),google/gemini-2.0-flash-001,Gemini-2.0-flash,0.9,1,MMLU_S5,philosophy
mmlu_subject,philosophy,MMLU_S5 (philosophy),meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0.775,4,MMLU_S5,philosophy
mmlu_subject,philosophy,MMLU_S5 (philosophy),qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,0.85,2,MMLU_S5,philosophy
mmlu_subject,international_law,MMLU_S6 (international_law),openai/gpt-4o-mini,GPT-4o-mini,0.855,2,MMLU_S6,international_law
mmlu_subject,international_law,MMLU_S6 (international_law),google/gemini-2.0-flash-001,Gemini-2.0-flash,0.885,1,MMLU_S6,international_law
mmlu_subject,international_law,MMLU_S6 (international_law),meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0.725,4,MMLU_S6,international_law
mmlu_subject,international_law,MMLU_S6 (international_law),qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,0.745,3,MMLU_S6,international_law
