scope,scope_value,left_model_id,left_model_label,right_model_id,right_model_label,point_diff,ci_low,ci_high,p_value,significant_95
scheme,overall_pooled,openai/gpt-4o-mini,GPT-4o-mini,google/gemini-2.0-flash-001,Gemini-2.0-flash,-0.1166666666666667,-0.16000000000000003,-0.07499999999999996,0.0,True
scheme,overall_pooled,openai/gpt-4o-mini,GPT-4o-mini,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0.1333333333333333,0.08500000000000008,0.18335416666666657,0.0,True
scheme,overall_pooled,openai/gpt-4o-mini,GPT-4o-mini,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,0.030833333333333268,-0.015854166666666697,0.07502083333333329,0.197,False
scheme,overall_pooled,google/gemini-2.0-flash-001,Gemini-2.0-flash,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0.25,0.19916666666666671,0.30166666666666675,0.0,True
scheme,overall_pooled,google/gemini-2.0-flash-001,Gemini-2.0-flash,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,0.14749999999999996,0.09916666666666663,0.1958333333333333,0.0,True
scheme,overall_pooled,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,-0.10250000000000004,-0.15166666666666662,-0.05499999999999994,0.0,True
scheme,overall_stratified,openai/gpt-4o-mini,GPT-4o-mini,google/gemini-2.0-flash-001,Gemini-2.0-flash,-0.1166666666666667,-0.16249999999999998,-0.07583333333333331,0.0,True
scheme,overall_stratified,openai/gpt-4o-mini,GPT-4o-mini,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0.1333333333333333,0.08499999999999996,0.18418749999999992,0.0,True
scheme,overall_stratified,openai/gpt-4o-mini,GPT-4o-mini,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,0.030833333333333268,-0.015000000000000013,0.07499999999999996,0.17,False
scheme,overall_stratified,google/gemini-2.0-flash-001,Gemini-2.0-flash,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0.25,0.20083333333333342,0.30000000000000004,0.0,True
scheme,overall_stratified,google/gemini-2.0-flash-001,Gemini-2.0-flash,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,0.14749999999999996,0.10083333333333333,0.1975,0.0,True
scheme,overall_stratified,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,-0.10250000000000004,-0.15166666666666662,-0.05583333333333329,0.0,True
